arm,seed,acc,train_loss,tl_min,tl_final,tl_min_epoch,spikes,max_jump,overfit
ftb7i,s1,79.61400251953125,2.4776210378115184,0.9792829125442288,0.9919775272860671,249,2,1.2996834146384248,0.012694614741838306
ftb7i,s2,79.7580025732422,2.5025699153327596,0.971904859285463,0.982503522300359,254,2,2.0408290905686908,0.010598663014895982
ftb8i,s0,79.7040025830078,2.4165348417531605,0.9791666321230658,1.011105598260959,204,1,0.5826506171948633,0.031938966137893154
ftb8i,s1,79.29000251464844,2.3900659356433422,1.0023760083272601,1.0435225225307725,204,1,0.8242915694912272,0.04114651420351234
ftb8i,s2,79.73200254394531,2.403705184252407,0.9788777305547035,1.012397839038661,214,0,0.013407930576552651,0.03352010848395748
ftbclip01,s0,78.32000264648437,2.310326097962948,1.036564908244393,1.1449112250949398,149,0,0.010210118913211108,0.10834631685054674
ftbclip01,s1,77.96600247558594,2.1910080399531395,1.043171539112474,1.2146193363675566,154,0,0.011449467247495182,0.17144779725508252
ftbclip01,s2,76.98400252441407,2.1846413816898487,1.0947495031763206,1.266624591228637,134,0,0.014362979107178209,0.17187508805231633
a1,s0,79.860002578125,2.2756936638377225,0.955986526427847,1.0496377133284553,184,0,0.009856985081942327,0.09365118690060836
a1,s1,80.00000250976562,2.271144955478704,0.9433270425281741,1.0524032639734673,184,0,0.016417458534049523,0.10907622144529316
a1,s2,80.13800254882813,2.330067071108482,0.9576712459551565,1.0090742156361088,209,0,0.012995323452811736,0.05140296968095226
a2,s0,76.89800260253907,2.273389183020649,1.0810728365498963,1.2357667122374882,149,0,0.013971239746285669,0.15469387568759196
a2,s1,78.19600258300781,2.3196276133426297,1.0754415301436728,1.1571372771127657,149,0,0.01232843362511371,0.08169574696909288
a2,s2,77.01600253417969,2.269610463701284,1.0798479911278596,1.2384901815517382,154,0,0.012868899207275852,0.15864219042387862
ftb4jd,s0,80.062002578125,2.6426074238231356,0.9413351679615902,0.9418323280459101,284,3,2.885045145590527,0.0004971600843198809
ftb4jd,s1,80.14000244628906,2.6283425014609327,0.9383709679047266,0.9405731249487761,294,6,0.9454560962577276,0.0022021570440494687
ftb4jd,s2,80.12200240234375,2.6494819576947544,0.9420467043916384,0.943666425731146,274,4,0.6720282419178734,0.001619721339507607
ftbcomp25,s0,80.24400238769532,2.484457750995763,0.9612938105834253,0.9673650972545147,249,4,2.226371419592164,0.00607128667108936
ftbcomp25,s1,80.02200245117187,2.498578602376466,0.9681542603807016,0.9762171426731528,249,3,1.8593435725435992,0.008062882292451223
ftbcomp25,s2,80.20400264648437,2.490423895752965,0.9567133205180819,0.9596906831544457,274,3,0.9710638973957448,0.002977362636363834
ftbclip1,s0,77.62200258789062,2.2748396710659833,1.0605025194359547,1.2045518997492213,149,0,0.031262262831800225,0.14404938031326653
ftbclip1,s1,77.90600239257813,2.1932331975191257,1.0414422291020553,1.210653717206283,159,0,0.011828760735881794,0.1692114881042277
ftbclip1,s2,77.64800271484376,2.184375137066803,1.046513751826503,1.2241673056374898,139,0,0.013631838003699048,0.1776535538109867
